timestamp,action,view,value
2025-03-07 13:59:47.733,Scroll,Red1,"(255, 135)"
2025-03-07 13:59:47.768,Scroll,Red1,"(255, 152)"
2025-03-07 13:59:47.823,Scroll,Red1,"(255, 160)"
2025-03-07 13:59:47.858,Scroll,Red1,"(255, 167)"
2025-03-07 13:59:47.930,Scroll,Red1,"(255, 175)"
2025-03-07 13:59:47.964,Scroll,Red1,"(255, 178)"
2025-03-07 13:59:48.049,Scroll,Red1,"(255, 184)"
2025-03-07 13:59:48.085,Scroll,Red1,"(255, 189)"
2025-03-07 13:59:48.174,Scroll,Red1,"(255, 196)"
2025-03-07 13:59:48.210,Scroll,Red1,"(256, 204)"
2025-03-07 13:59:48.269,Scroll,Red1,"(259, 211)"
2025-03-07 13:59:48.304,Scroll,Red1,"(260, 214)"
2025-03-07 13:59:48.870,Scroll,Red1,"(261, 217)"
2025-03-07 13:59:48.874,End Scroll,Red1,
2025-03-07 14:00:31.686,Wheel Scroll,Red1,delta=1
2025-03-07 14:00:31.855,Wheel Scroll,Red1,delta=1
2025-03-07 14:00:31.861,Wheel Scroll,Red1,delta=1
2025-03-07 14:00:31.867,Wheel Scroll,Red1,delta=1
2025-03-07 14:00:31.996,Wheel Scroll,Red1,delta=1
2025-03-07 14:00:32.014,Wheel Scroll,Red1,delta=1
2025-03-07 14:00:32.036,Wheel Scroll,Red1,delta=1
2025-03-07 14:00:32.331,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.472,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.491,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.514,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.520,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.542,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.649,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.799,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:32.998,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.017,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.041,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.048,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.071,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.222,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.241,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.263,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.270,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.291,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.342,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.361,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.550,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.940,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.973,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.979,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:33.991,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.013,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.020,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.314,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.334,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.358,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.365,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.388,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.394,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.424,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.429,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.434,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.440,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.450,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.453,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:34.715,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.000,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.020,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.043,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.050,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.073,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.124,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.508,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.528,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.551,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.558,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.581,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:35.587,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:36.001,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:36.021,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:36.044,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:36.051,Wheel Scroll,Red1,delta=-1
2025-03-07 14:00:36.074,Wheel Scroll,Red1,delta=-1
2025-03-07 14:01:33.877,Start Pan,Red1,
2025-03-07 14:01:33.885,Pan,Red1,"(257, 103)"
